,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
267,Nokaneng,24,BW,1552367021,52,-19.66,22.19,78.18,10.45
268,Marsa Matruh,0,EG,1552363200,50,31.35,27.25,53.6,9.55
269,Port Elizabeth,1,US,1552366967,42,39.31,-74.98,50.0,14.99
270,Waipawa,76,NZ,1552364057,63,-39.94,176.59,73.0,4.0
271,Khandbari,0,NP,1552367027,68,27.38,87.21,38.4,0.16
272,Manturovo,88,RU,1552367028,93,58.33,44.76,33.63,3.51
273,Longyearbyen,20,NO,1552362600,64,78.22,15.63,1.4,8.05
274,Isla Mujeres,40,MX,1552366397,83,21.23,-86.73,78.8,6.93
275,Maxixe,40,MZ,1552363200,78,-23.86,35.35,77.0,11.34
276,Poum,92,MK,1552367034,88,41.28,20.71,31.38,2.62
277,Avarua,88,CK,1552365000,88,-21.21,-159.78,77.0,5.82
278,Lincoln,92,GB,1552366863,87,53.23,-0.54,48.2,33.33
279,Roald,20,NO,1552366921,55,62.58,6.12,36.0,23.04
280,Dicabisagan,88,PH,1552367040,100,17.08,122.42,75.84,3.74
281,Safford,90,US,1552366838,82,32.83,-109.71,60.01,9.17
282,Nisia Floresta,20,BR,1552363200,78,-6.09,-35.21,82.4,10.29
283,Sistranda,20,NO,1552366765,80,63.73,8.83,30.2,16.11
284,Agirish,76,RU,1552367045,87,61.92,63.02,33.0,7.43
285,North Bend,90,US,1552366530,87,43.41,-124.22,48.99,4.7
286,Manakara,92,MG,1552367048,100,-22.14,48.01,77.19,4.18
287,Aswan,0,EG,1552367050,43,24.09,32.9,60.63,4.97
288,Horta,68,ES,1552367044,62,41.43,2.16,55.0,2.24
289,Torbay,90,CA,1552366960,100,47.66,-52.73,39.99,35.57
290,Necochea,80,AR,1552366915,76,-38.55,-58.74,61.0,1.01
291,Otjimbingwe,0,NA,1552367056,67,-22.35,16.13,46.23,2.73
292,Richards Bay,56,ZA,1552367058,99,-28.77,32.06,72.33,2.95
293,Margherita,75,IN,1552363200,73,27.29,95.67,71.6,4.7
294,Merauke,80,ID,1552366968,92,-8.49,140.4,83.58,8.1
295,Grindavik,75,IS,1552365000,64,63.84,-22.43,42.01,20.8
296,Ahipara,44,NZ,1552362594,82,-35.17,173.16,77.0,1.01
297,Cabo San Lucas,75,MX,1552366840,68,22.89,-109.91,71.01,19.46
298,Singarayakonda,0,IN,1552367066,46,15.25,80.02,93.12,9.66
299,Zyryanka,68,RU,1552367068,63,65.73,150.89,3.84,2.62
300,Macklin,76,CA,1552367070,78,52.34,-109.94,21.57,3.62
301,Okhotsk,68,RU,1552367071,74,59.36,143.24,20.22,4.85
302,Aitape,76,PG,1552367072,100,-3.15,142.36,78.45,11.12
303,Saint-Francois,0,FR,1552366956,92,46.42,3.91,26.6,3.36
304,Dalvik,0,SE,1552366819,92,57.79,14.13,21.99,3.36
305,Kaitangata,32,NZ,1552366956,63,-46.28,169.85,68.0,8.99
306,Vanavara,80,RU,1552367078,67,60.35,102.28,26.52,9.78
307,Carutapera,68,BR,1552366813,95,-1.2,-46.02,77.19,4.41
308,Nsanje,56,MZ,1552367080,93,-16.92,35.26,74.58,4.18
309,Tuatapere,0,NZ,1552366809,75,-46.13,167.69,69.01,5.01
310,Flinders,75,AU,1552367044,18,-34.58,150.85,95.0,17.22
311,Salinas,1,US,1552367018,66,36.67,-121.66,54.0,6.42
312,Katima Mulilo,0,NA,1552367086,73,-17.5,24.28,73.95,4.97
313,Elizabeth City,1,US,1552366883,62,36.3,-76.22,53.6,10.67
314,Faya,75,SA,1552363200,62,18.39,42.45,57.2,3.18
315,Moba,36,CD,1552367089,88,-7.04,29.77,73.32,2.84
316,Yeppoon,8,AU,1552365000,27,-23.13,150.74,100.4,9.17
317,Saint Anthony,1,US,1552366811,62,43.97,-111.68,28.4,6.93
318,Kifri,0,IQ,1552367094,48,34.69,44.96,55.14,4.52
319,Kimberley,20,ZA,1552363200,82,-28.74,24.76,62.6,10.29
320,Nelson Bay,0,AU,1552366851,35,-32.72,152.14,89.01,16.11
321,Morant Bay,20,JM,1552363200,65,17.88,-76.41,77.0,6.93
322,Alofi,76,NU,1552363200,74,-19.06,-169.92,84.2,12.75
323,Ewa Beach,1,US,1552366905,53,21.32,-158.01,78.8,10.29
324,Jerez,0,ES,1552366817,76,36.68,-6.14,60.8,2.24
325,Cedar City,90,US,1552366891,86,37.68,-113.06,39.0,2.95
326,Contamana,20,PE,1552367104,93,-7.35,-75.01,75.21,2.06
327,Minas,40,UY,1552363200,82,-34.38,-55.24,64.4,6.93
328,Aklavik,90,CA,1552363200,70,68.22,-135.01,-2.21,9.17
329,Ixtapa,75,MX,1552366822,100,20.71,-105.21,75.0,1.61
330,Rundu,20,NA,1552367110,76,-17.91,19.77,69.18,8.21
331,Atchison,90,US,1552367023,65,39.56,-95.12,44.6,6.93
332,Utiel,0,ES,1552367109,87,39.57,-1.21,48.0,3.36
333,Nouakchott,0,MR,1552365000,12,18.08,-15.98,71.6,11.41
334,Ambulu,20,ID,1552367115,100,-8.35,113.61,83.22,5.97
335,Nikolayevka,64,RU,1552367117,91,46.73,38.57,35.16,4.07
336,Salym,92,RU,1552367118,92,60.06,71.48,34.62,5.41
337,Syamzha,56,RU,1552367120,88,60.02,41.06,22.2,11.56
338,Port-Gentil,64,GA,1552367121,96,-0.72,8.78,82.41,6.76
339,Namatanai,76,PG,1552367122,100,-3.66,152.44,79.8,8.21
340,Sao Filipe,0,CV,1552367123,91,14.9,-24.5,72.33,14.81
341,Komsomolskiy,92,RU,1552367125,87,67.55,63.78,15.72,13.02
342,Romny,12,UA,1552367126,89,50.74,33.49,26.97,9.78
343,Dingle,0,PH,1552367127,42,11.0,122.67,91.59,10.45
344,Pacific Grove,1,US,1552367117,66,36.62,-121.92,54.0,6.42
345,Labuhan,64,ID,1552367130,70,-2.54,115.51,85.38,1.95
346,Santiago del Estero,76,AR,1552367131,95,-27.8,-64.26,62.88,3.4
347,Santa Isabel do Rio Negro,80,BR,1552367133,100,-0.41,-65.02,73.05,2.73
348,Nieuw Amsterdam,0,SR,1552366811,94,5.88,-55.08,75.0,1.12
349,Sergach,92,RU,1552367135,96,55.53,45.48,33.0,6.42
350,Gusau,0,NG,1552367137,42,12.17,6.66,66.21,3.74
351,Hambantota,75,LK,1552363800,70,6.12,81.12,84.2,10.29
352,Broome,92,GB,1552367092,81,52.47,1.45,46.99,20.8
353,Lompoc,1,US,1552367086,57,34.64,-120.46,54.0,7.43
354,Noyabrsk,0,RU,1552367071,94,63.2,75.45,25.08,4.29
355,Wencheng,24,CN,1552367143,43,27.79,120.09,68.1,2.06
356,Zhezkazgan,0,KZ,1552365000,85,47.8,67.71,14.0,8.95
357,Yafran,48,LY,1552366961,95,32.06,12.53,46.23,14.25
358,Vigrestad,40,NO,1552366846,86,58.57,5.7,41.0,16.11
359,Narsaq,80,GL,1552362600,49,60.91,-46.05,23.0,11.41
360,Chernyshevskiy,76,RU,1552367150,78,63.01,112.47,19.23,4.63
361,Port Macquarie,0,AU,1552366804,65,-31.43,152.91,86.0,11.41
362,Pio XII,76,BR,1552367153,91,-3.89,-45.17,76.83,2.73
363,Kang,0,BW,1552367154,50,-23.67,22.79,72.42,14.25
364,Vrangel,92,RU,1552367156,100,42.73,133.08,33.9,11.56
365,Saint Simons,90,US,1552367100,93,31.14,-81.39,63.0,4.41
366,Nola,0,CF,1552367158,89,3.52,16.05,71.61,4.52
367,South Valley,90,US,1552366924,93,35.01,-106.68,52.0,11.41
368,Marquette,1,US,1552366903,85,46.54,-87.4,14.0,4.7
369,Souillac,0,FR,1552367128,86,45.6,-0.6,39.99,10.29
370,Marzuq,0,YE,1552367163,39,14.4,46.47,71.61,2.95
371,Ouesso,24,CG,1552367165,96,1.61,16.05,71.52,3.96
372,Vao,76,EE,1552367166,84,59.1,26.19,23.82,6.98
373,Impfondo,12,CD,1552367167,86,1.62,18.06,74.49,3.96
374,Caucaia,75,BR,1552366698,83,-3.73,-38.66,82.4,6.93
375,Vestmannaeyjar,36,IS,1552367170,75,63.44,-20.27,41.82,30.69
376,Beitbridge,0,ZA,1552367171,68,-22.21,29.99,74.85,12.12
377,Liverpool,92,GB,1552366889,93,53.41,-2.98,53.01,21.92
378,Riyadh,0,SA,1552363200,27,24.63,46.72,53.6,8.21
379,Robe,0,ET,1552367175,36,7.12,40.01,66.03,4.07
380,Grigiskes,0,LT,1552366845,79,54.68,25.08,24.8,9.17
381,Enterprise,90,US,1552366907,93,31.32,-85.86,59.0,5.82
382,Sosnogorsk,92,RU,1552367180,89,63.59,53.93,30.12,6.08
383,Bambous Virieux,20,MU,1552367046,83,-20.34,57.76,82.99,2.62
384,College,90,US,1552367121,64,64.86,-147.8,35.6,3.36
385,Laguna,100,MX,1552367184,41,27.52,-110.01,72.87,7.65
386,Ibra,0,OM,1552367185,53,22.69,58.55,67.92,3.29
387,Leh,20,IN,1552367186,85,34.16,77.58,3.66,0.72
388,Jasper,20,US,1552367177,100,33.83,-87.28,52.0,5.3
389,Nome,75,US,1552367150,82,30.04,-94.42,68.0,8.05
390,Olga,90,US,1552367175,41,34.11,-118.17,62.6,4.7
391,Sorong,56,ID,1552367192,100,-0.86,131.25,81.33,6.08
392,Bitung,20,ID,1552365000,70,1.44,125.19,84.2,3.36
393,Karpogory,92,RU,1552367195,89,64.0,44.44,32.37,3.51
394,Gamba,0,CN,1552367196,84,28.28,88.52,24.72,9.22
395,Amapa,20,HN,1552366800,83,15.09,-87.97,78.8,8.05
396,Luba,0,PH,1552367199,50,17.32,120.7,85.29,6.98
397,Shimoda,20,JP,1552367111,42,34.7,138.93,66.0,21.92
398,Wattegama,0,LK,1552367202,44,7.35,80.68,87.72,2.84
399,Porto Uniao,92,BR,1552367085,95,-26.24,-51.08,61.44,2.95
400,Quthing,92,LS,1552367204,100,-30.4,27.7,53.97,1.39
401,Bafilo,8,TG,1552367206,47,9.35,1.24,65.13,2.73
402,Methoni,75,GR,1552367136,82,36.82,21.7,59.0,20.74
403,Viedma,80,AR,1552367208,86,-40.81,-62.99,61.62,9.33
404,Dawlatabad,0,AF,1552367209,44,36.41,64.91,63.15,4.74
405,Simav,75,TR,1552367108,66,39.09,28.98,55.0,4.7
406,San Jeronimo,36,PE,1552367211,99,-13.65,-73.37,41.64,1.72
407,Wloszczowa,32,PL,1552367206,86,50.85,19.97,35.01,4.0
408,Bremerton,1,US,1552367161,39,38.4,-75.51,50.0,8.05
409,Banjar,32,ID,1552367216,81,-7.37,108.54,82.41,4.52
410,Zagora,0,HR,1552367155,86,46.19,15.87,35.01,3.36
411,Tamale,0,GH,1552367219,28,9.4,-0.84,74.04,6.87
412,Opuwo,12,NA,1552367220,48,-18.06,13.84,56.76,3.18
413,Lima,0,PE,1552367106,83,-12.06,-77.04,73.99,8.05
414,Beringovskiy,0,RU,1552367223,69,63.05,179.32,-1.65,21.52
415,Te Anau,0,NZ,1552367224,53,-45.41,167.72,67.38,6.42
416,Skjervoy,68,NO,1552367226,100,70.03,20.97,31.02,20.29
417,Bafoulabe,0,ML,1552367227,32,13.81,-10.83,67.02,10.45
418,Hidalgotitlan,24,MX,1552367228,83,17.78,-94.63,73.95,7.54
419,Inhambane,40,MZ,1552363200,78,-23.87,35.38,77.0,11.34
420,Cabatuan,8,PH,1552367231,71,16.95,121.67,85.56,6.98
421,Boda,0,BD,1552367232,37,26.2,88.56,86.82,6.31
422,Huilong,92,CN,1552367234,73,28.89,110.18,58.02,2.95
423,Darhan,8,MN,1552367235,25,49.49,105.92,38.85,4.41
424,Oparino,76,RU,1552367236,91,59.85,48.28,33.54,3.62
425,Taybad,32,IR,1552366947,94,34.74,60.78,48.75,5.08
426,Dukat,92,RS,1552367204,77,42.44,22.31,35.01,1.01
427,Kichmengskiy Gorodok,68,RU,1552367241,91,59.99,45.81,31.38,3.51
428,Soe,80,EE,1552366695,92,57.91,26.05,21.99,10.29
429,Bubaque,0,GW,1552367243,99,11.28,-15.83,76.56,2.73
430,Suleja,0,NG,1552367245,83,9.18,7.18,71.34,2.84
431,Tabory,44,PL,1552367122,80,53.89,19.53,28.99,8.01
432,Beachwood,1,US,1552367206,78,41.46,-81.51,32.0,11.41
433,Guaymas,56,MX,1552367239,72,27.92,-110.9,64.99,6.64
434,Bonavista,92,CA,1552366876,86,48.65,-53.11,37.0,7.0
435,Severnoye,92,RU,1552367251,94,54.09,52.54,33.36,17.49
436,Barcelona,75,ES,1552367015,81,41.38,2.18,55.0,2.24
437,Inuvik,90,CA,1552363200,70,68.36,-133.71,-2.21,9.17
438,Melilla,40,EC,1552363200,78,-0.8,-80.23,80.6,4.7
439,Kahului,40,US,1552367207,60,20.89,-156.47,75.99,16.11
440,Carballo,0,ES,1552367253,100,43.21,-8.69,46.0,5.82
441,Santa Rosa,76,AR,1552367264,80,-36.62,-64.29,60.81,4.52
442,Tshela,88,CD,1552367266,95,-4.99,12.94,75.48,2.62
443,Comodoro Rivadavia,0,AR,1552363200,76,-45.87,-67.48,53.6,8.66
444,Alghero,0,IT,1552366200,43,40.56,8.32,51.8,9.17
445,Lethem,44,GY,1552367269,64,3.38,-59.8,80.07,11.23
446,Kruisfontein,0,ZA,1552367271,82,-34.0,24.73,69.0,7.76
447,Dunedin,20,NZ,1552367241,75,-45.87,170.5,66.48,2.95
448,Atar,0,MR,1552367273,42,20.52,-13.05,59.37,6.87
449,Mount Isa,12,AU,1552365000,20,-20.73,139.49,104.0,9.17
450,Abu Kamal,0,SY,1552367147,40,34.45,40.92,59.01,3.4
451,San Lorenzo,0,PY,1552363200,94,-25.34,-57.51,73.4,3.36
452,Knysna,90,ZA,1552363200,100,-34.04,23.05,64.4,4.7
453,Sharlyk,92,RU,1552367280,94,52.93,54.74,33.36,18.72
454,San Quintin,0,PH,1552367282,50,17.54,120.52,85.29,6.98
455,Barquisimeto,48,VE,1552367283,83,10.07,-69.32,67.92,7.31
456,Fortuna,0,ES,1552367255,75,38.18,-1.13,48.99,4.7
457,Zatoka,75,PL,1552367253,85,50.04,20.52,36.0,10.29
458,Harper,90,US,1552367186,87,30.3,-99.24,62.01,11.41
459,Jinchang,0,CN,1552367289,91,38.52,102.19,35.43,3.96
460,Nancha,88,CN,1552367290,67,47.14,129.26,26.7,6.42
461,Nantucket,1,US,1552367272,51,41.28,-70.1,37.99,12.75
462,San Policarpo,8,PH,1552367293,89,12.18,125.51,80.7,7.76
463,Namie,40,JP,1552367000,71,37.52,140.86,53.6,11.41
464,Awash,0,ET,1552367276,33,8.99,40.17,78.0,2.73
465,Camacha,75,PT,1552365000,72,33.08,-16.33,60.8,8.05
466,Aketi,0,CD,1552367298,82,2.74,23.78,76.65,2.95
467,San Andres,8,PH,1552367300,100,13.32,122.68,80.52,5.08
468,Codrington,0,AU,1552367233,41,-28.95,153.24,102.2,11.41
469,Commerce,1,US,1552367117,93,34.2,-83.46,50.0,4.52
470,Coihaique,0,CL,1552363200,87,-45.58,-72.07,50.0,4.7
471,Terrace Bay,0,CA,1552367305,73,48.78,-87.1,7.89,9.55
472,Taoudenni,0,ML,1552367307,32,22.68,-3.98,56.22,12.46
473,Qaqortoq,80,GL,1552362600,49,60.72,-46.03,23.0,11.41
474,Cururupu,80,BR,1552367310,95,-1.82,-44.87,76.29,3.85
475,Chumikan,80,RU,1552367311,82,54.72,135.31,21.3,15.93
476,Masallatah,88,LY,1552367312,92,32.62,14.0,50.46,12.01
477,Tessalit,0,ML,1552367314,30,20.2,1.01,48.93,9.22
478,Imbituba,75,BR,1552363200,88,-28.24,-48.67,71.6,3.36
479,Batemans Bay,0,AU,1552366956,73,-35.71,150.18,80.01,5.01
480,Aubenas,0,FR,1552367217,69,44.62,4.39,41.0,4.7
481,Sobolevo,80,RU,1552367319,89,54.43,31.9,25.8,10.45
482,Fern Creek,1,US,1552367316,69,38.16,-85.59,42.8,3.18
483,Yulara,0,AU,1552363200,14,-25.24,130.99,104.0,10.29
484,Lamar,90,US,1552366826,71,38.09,-102.62,51.8,14.99
485,Almaznyy,0,RU,1552365000,86,48.03,40.04,33.8,11.18
486,Greenwood,90,US,1552366500,100,32.03,-101.9,51.8,9.17
487,Kirakira,8,SB,1552367328,100,-10.46,161.92,84.57,8.77
488,Tura,0,IN,1552367329,60,25.52,90.21,78.45,3.62
489,Andra,88,RU,1552367331,90,62.52,65.89,26.07,7.99
490,Abay,0,KZ,1552365000,78,49.63,72.87,15.8,4.47
491,Husavik,8,CA,1552367167,91,50.56,-96.99,17.01,5.99
492,Albanel,76,CA,1552367070,66,48.88,-72.44,18.0,5.01
493,Cap-aux-Meules,0,CA,1552367336,85,47.38,-61.86,27.6,19.28
494,Kolo,0,TZ,1552367337,51,-4.73,35.84,72.33,4.07
495,Omboue,44,GA,1552367339,99,-1.57,9.26,83.85,4.97
496,Kieta,92,PG,1552367340,100,-6.22,155.63,75.75,4.18
497,Broken Hill,0,AU,1552363200,31,-31.97,141.45,77.0,10.29
498,Belmonte,0,PT,1552366872,96,40.36,-7.35,41.0,2.62
499,Yermakovskoye,80,RU,1552367344,65,53.28,92.4,35.52,6.98
500,Chilca,75,PE,1552367174,87,-13.22,-72.34,48.2,1.61
501,Mezhdurechensk,92,RU,1552367347,72,53.69,88.07,30.66,3.74
502,Kuito,48,AO,1552367348,94,-12.38,16.94,60.9,3.96
503,Nowogard,90,PL,1552367338,91,53.67,15.12,32.0,4.7
504,Katsuura,75,JP,1552366484,41,33.93,134.5,60.8,6.93
505,Mwinilunga,80,ZM,1552367352,93,-11.73,24.43,65.94,3.29
506,Innisfail,75,CA,1552363200,85,52.02,-113.95,24.8,8.05
507,Kafanchan,0,NG,1552367354,67,9.58,8.3,59.91,2.62
508,Macia,32,MZ,1552367356,76,-25.03,33.09,78.9,5.64
509,Haines Junction,36,CA,1552367357,72,60.75,-137.51,17.07,2.84
510,Tineo,56,ES,1552367343,93,43.34,-6.41,46.99,6.93
511,Vila Franca do Campo,75,PT,1552367312,93,37.72,-25.43,59.0,2.24
512,Jacareacanga,88,BR,1552367361,97,-6.22,-57.76,71.43,1.95
513,Tyret Pervaya,80,RU,1552367362,82,53.67,102.31,32.28,4.18
514,Maputo,75,MZ,1552363200,88,-25.97,32.57,75.2,6.93
515,Portland,90,US,1552367251,56,45.52,-122.67,50.0,10.29
516,Rosetta,36,EG,1552363200,93,31.4,30.42,48.2,4.97
517,Amazar,0,RU,1552367368,29,53.86,120.88,18.78,5.97
518,Huarmey,80,PE,1552367369,82,-10.07,-78.15,67.2,2.84
519,Mocajuba,92,BR,1552367370,97,-2.58,-49.5,74.04,2.39
520,Greenfield,75,US,1552367364,55,42.59,-72.6,33.8,12.75
521,Bombay,90,US,1552366864,80,44.94,-74.57,30.2,8.05
522,Colquechaca,64,BO,1552367375,79,-18.7,-66.0,44.79,1.39
523,Nur,0,PL,1552367211,89,52.67,22.32,30.0,1.01
524,Windhoek,0,NA,1552363200,13,-22.57,17.08,64.4,3.36
525,Tafo,32,GH,1552367223,95,6.73,-1.61,70.26,2.73
526,Tortoli,5,IT,1552366789,27,39.93,9.66,51.8,18.34
527,Fort Abbas,20,PK,1552367381,78,29.19,72.85,67.38,6.76
528,Sainte-Maxime,0,FR,1552367371,47,43.31,6.64,44.6,4.7
529,Shieli,0,KZ,1552367384,52,44.18,66.74,49.56,3.18
530,Wonthaggi,76,AU,1552367282,58,-38.6,145.59,66.99,11.99
531,Uray,88,RU,1552367387,93,60.13,64.8,36.06,8.77
532,Yantzaza,32,EC,1552367388,88,-3.83,-78.76,57.84,2.17
533,Canutama,20,BR,1552367389,92,-6.53,-64.38,76.38,3.18
534,Marsh Harbour,12,BS,1552367171,100,26.54,-77.06,73.68,4.07
